date,title,comment
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,"It's a secondary offense in Arizona, just looking for another way to violate your rights!"
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,Another scam....12 feet .... remember 😮😮😮😮
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,"Seat belt laws for front-seat passengers are grounded in decades of data showing that belts significantly reduce fatalities and injuries in crashes. The National Highway Traffic Safety Administration (NHTSA) reports seat belts reduce the risk of fatal injury by about 45-60% for front-seat occupants. Most U.S. states mandate seat belts for front-seat passengers (and often all passengers) because vehicles are designed with restraint systems for those seats, and the laws reflect that infrastructure.
Now, riding in the bed of a pickup truck is a different story. There’s no built-in restraint system in a truck bed—no seat belts, no airbags, nothing. You’re essentially cargo back there, exposed to ejection, impact, or road debris. The NHTSA notes that passengers in truck beds face a much higher risk of injury or death in a crash, with ejection being a leading cause. Despite this, regulations on truck bed passengers are surprisingly lax in many places. As of my last data, about 20 U.S. states still allow passengers in truck beds without restrictions, often due to historical or cultural practices (e.g., rural areas, farm work). Other states limit it by age, speed, or distance, but enforcement is spotty"
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,Scum bags looking to go fishing and generate revenue.
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,"That’s because all the other states are sending there shitty drivers here, lowering there accidents and raising ours."
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,Bs
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,They’re decreasing nationally because everyone is moving to Arizona increasing fatalities do to more non Arizonans not knowing how to drive on dry flat straight surfaces.
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,Goodyear needs money and it will get it no matter what .... they will profile anyone to get that revenue
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,Oh cool! A new way to get harassed by police
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,Getting stopped by police for a violation is not harassment.
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,"@@tjmayer9103 know the law before you run your mouth. 

“In Phoenix and across Arizona, police cannot pull over a vehicle solely for a seatbelt violation. Arizona is a secondary enforcement state for seatbelts, meaning a police officer must have reasonable cause to believe another traffic violation has occurred before they can stop a car for not wearing a seatbelt.”"
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,"​​​​​@kaydee9783 I know the law. I just made a true, factual, and general statement. Remember genius ... driving is a privilege, not a right ! If you don't like Az traffic laws, stay in your basement."
2025-05-18T19:20:59Z,Valley police departments launch &#39;Click It or Ticket&#39; campaign to enforce seat belt use,"J'ai essayé d'impressionner mon partenaire avec une danse sexy. J'ai fini par renverser une lampe et donner accidentellement un coup de pied au chat. Des mouvements fluides, en effet💖"
2025-05-18T18:53:02Z,Made in America: Small business products at big retailers may save Smart Shoppers money,❤ 🇺🇸 👍
2025-05-18T18:53:02Z,Made in America: Small business products at big retailers may save Smart Shoppers money,Stores don't price products based on costs but on what the market will bear.
2025-05-18T18:53:02Z,Made in America: Small business products at big retailers may save Smart Shoppers money,45 years ago we had MANY farms here.
2025-05-18T18:53:02Z,Made in America: Small business products at big retailers may save Smart Shoppers money,Can I use my food stamps to buy that stuff😂😂😂😂😂 America sucks 😂😂😂
2025-05-18T18:53:02Z,Made in America: Small business products at big retailers may save Smart Shoppers money,God Bless The USA 🇺🇸
2025-05-18T18:53:02Z,Made in America: Small business products at big retailers may save Smart Shoppers money,"Vous savez que vous êtes dans une relation sérieuse quand ""Netflix and Chill"" signifie en fait regarder Netflix et se détendre💚"
2025-05-18T18:03:53Z,Air quality concerns due to the Greer Fire,"Si toutes les vidéos YouTube étaient comme ça, je n'éteindrais jamais mon ordinateur😚"
2025-05-18T14:38:01Z,Dangerous fire conditions as temperatures cool off on Sunday,"Dangerous heat?
It's the desert 🏜 ....
Stop with the spraying of chemicals in the clouds. 
This wind is not natural.
I am not happy I moved to Arizona...."
2025-05-18T14:35:02Z,"ABC15 Arizona in Phoenix Latest Headlines | May 18, 7am",Love animals but people first.
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,hes a turd that wont do sht
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,This pope is just a pupet like all popes they act like they want to help but they only help them selfs there worth billions an do nothing to help except them selfs that just sicken an sad
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,This is all just a scam by you guys because clearly you don't have anything else to write about the pope selection and inauguration has to do with the Catholic religion and nothing more. The Catholic Church has always been about helping the poor and the marginalized it's been going on for years thousands of years you guys are not as left us don't have any business using that as your crutch that's all I have to say.
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,"Yeah, close the border and no more illegals."
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,No change. Self deport or we will find you.
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,the gop are the enemy and your god is imaginary
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,Tells you right there it's about politics and not serving God.
2025-05-18T05:34:48Z,Valley immigration advocates hope first American pope will bring change to immigration issues,Conseil pour les rencontres : ne faites jamais confiance à un homme qui n'apprécie pas les joies d'un lit bien fait😻
2025-05-18T05:29:55Z,Winds and poor air quality continue to pose challenges in Greer Fire,🙏🏼🙏🏼🙏🏼
2025-05-18T05:29:55Z,Winds and poor air quality continue to pose challenges in Greer Fire,This may be a sample of what our Fire Season may look like later this year?
2025-05-18T04:47:58Z,Dangerous fire conditions as temperatures cool off on Sunday,Stop the fire starters.. !! No more starting fires plze!!
2025-05-18T04:47:58Z,Dangerous fire conditions as temperatures cool off on Sunday,J'ai essayé d'expliquer au gars pourquoi je riais si fort et nous avons fini par rire seuls😘
2025-05-18T04:45:11Z,"ABC15 Arizona in Phoenix Latest Headlines | May 17, 9pm","Remember kids: always remember to wear a life jacket!

Also first"
2025-05-17T18:30:27Z,Arizona State researcher conducts &#39;me-search&#39; on autism with national impact,Amen 🙏🏼
2025-05-17T18:30:27Z,Arizona State researcher conducts &#39;me-search&#39; on autism with national impact,Thank you for your work.
2025-05-17T18:30:27Z,Arizona State researcher conducts &#39;me-search&#39; on autism with national impact,J'ai regardé cette vidéo pour me remonter le moral et maintenant je ne peux plus m'arrêter. Le rire est le meilleur des remèdes 💋
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,"Hey Siri , When is the next governor’s race in Arizona? November 3, 2026😔👏"
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,Katie was completely clueless and damn near brain dead in this entire interaction
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,It would have been nice to see the map and not just the Governor during this update.
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,We need more forest roads in those areas!
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,"Hobbs  asking her for funding. Hasnt she ruined funding n the first place. First time ,ive heard them right up front talking about money.  Shes a dang fraud and abuses power and doesnt use money properly."
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,EXACTLY.
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,"Sorry for the snippy criticizm but also, camera man, it would've been nice to see the Map and Info. instead of looking at Katie's face...sigh...."
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,Katie couldn't punch her way out of a paper bag. And the photo op baseball cap and pony tail like she's going to grab a shovel and help...sad.
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,Katie Hobbs is utterly worthless
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,We are at the point that every one in Arizona want the FBI too look into what exactly happened in Maricopa 2022 elections..
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,@@Youtuber-xs9cp EXACTLY
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,She is trying to do anything to distract from the fact her election might be under investigation
2025-05-17T17:15:52Z,Arizona Governor Katie Hobbs tours Greer Fire Saturday,We all know she didnt win.  she was in charge of the elections at the time.....WE ALL KNOW
2025-05-17T15:54:57Z,MOST ACCURATE FORECAST: Strong wind gusts expected across Arizona,NO not ready for the 100+
2025-05-17T15:54:57Z,MOST ACCURATE FORECAST: Strong wind gusts expected across Arizona,"Arizona needs to stop the surrounding states 
From
Spraying chemicals .
Every time they do this climate change agenda, we get heavy winds.
Right now, we have strong winds.
They have been spraying XXX, long trails, and multiple planes in the clouds for over 24 hrs.
STOP NOW."
